Array Length,Presorted Rate,Duplicate Rate,Max Digits,Fastest Sort
24,0.4348,0.3333,10,I
51,0.48,0.451,10,I
60,0.7288,0.7167,2,I
56,0.7818,0.7679,2,I
59,0.7586,0.7458,1,I
27,0.7692,0.7407,1,I
51,0.74,0.7255,1,I
80,0.8354,0.825,1,I
19,0.5556,0.5263,1,I
41,0.75,0.7317,2,I
5,0.75,0.6,2,I
13,0.6667,0.6154,2,I
98,0.732,0.7143,2,I
95,0.7234,0.7158,2,I
26,0.68,0.6538,2,I
86,0.6824,0.6512,2,I
90,0.6517,0.6333,3,I
13,0.5833,0.5385,3,I
21,0.65,0.619,3,I
56,0.7091,0.6964,3,I
90,0.6292,0.6111,3,I
84,0.6747,0.631,3,I
62,0.7541,0.7419,2,I
61,0.6167,0.5902,4,I
82,0.6049,0.5488,4,I
19,0.6111,0.5263,4,I
45,0.7045,0.6667,3,I
26,0.8,0.7692,3,I
88,0.7816,0.7727,3,I
22,0.7143,0.6818,3,I
56,0.7636,0.75,4,I
9,0.75,0.6667,4,I
51,0.68,0.6667,4,I
30,0.7241,0.7,4,I
30,0.6552,0.6,4,I
12,0.7273,0.6667,4,I
69,0.75,0.7391,4,I
20,0.6842,0.65,4,I
97,0.7292,0.7216,5,I
6,0.8,0.6667,5,I
89,0.5909,0.5843,5,I
81,0.5875,0.5802,5,I
29,0.6429,0.6207,5,I
61,0.6833,0.6721,5,I
74,0.6712,0.6351,6,I
51,0.74,0.7255,6,I
53,0.6923,0.6792,6,I
20,0.6316,0.6,5,I
36,0.6857,0.6667,5,I
96,0.5579,0.5417,5,I
23,0.6818,0.6522,5,I
36,0.6,0.5278,7,I
72,0.7042,0.6806,6,I
47,0.6522,0.6383,6,I
22,0.7619,0.7273,6,I
89,0.6705,0.6629,6,I
50,0.7959,0.76,6,I
8,0.8571,0.75,3,I
14,0.8462,0.7857,6,I
95,0.7766,0.7579,7,I
63,0.6452,0.6349,7,I
1,1,0,4,M
29,0.6429,0.6207,6,I
96,0.6526,0.6042,7,I
14,0.6923,0.6429,7,I
82,0.6296,0.622,8,I
59,0.7069,0.678,8,I
3,1,0.6667,5,I
64,0.7302,0.6875,8,I
58,0.5263,0.5172,8,I
21,0.8,0.7619,7,I
63,0.5806,0.5556,7,I
89,0.6932,0.6742,9,I
78,0.7143,0.7051,9,I
95,0.617,0.6,9,I
41,0.775,0.7561,8,I
57,0.6071,0.5789,8,I
58,0.5965,0.5517,8,I
56,0.5818,0.5357,8,I
79,0.6154,0.5696,8,I
86,0.6824,0.6744,9,I
19,0.6667,0.5789,9,I
71,0.6714,0.662,9,I
18,0.7059,0.6667,9,I
50,0.6939,0.66,9,I
11,0.7,0.5455,8,I
43,0.6429,0.6279,8,I
5,0.75,0.6,8,I
64,0.7619,0.75,10,I
95,0.7128,0.7053,10,I
47,0.6739,0.617,10,I
61,0.6667,0.6557,10,I
41,0.575,0.561,10,I
97,0.6979,0.6907,9,I
33,0.5938,0.5758,10,I
92,0.8352,0.8261,1,I
83,0.8659,0.8554,1,I
87,0.9186,0.908,1,I
40,0.8462,0.825,1,I
3,1,0.6667,1,I
86,0.6353,0.6047,10,I
21,0.6,0.5714,10,I
43,1,0.9767,1,I
6,1,0.8333,1,I
91,0.8778,0.8681,1,I
31,0.9667,0.9355,1,I
35,0.7941,0.7714,1,I
32,0.9355,0.9063,1,I
70,0.9565,0.9429,1,I
97,0.9688,0.9588,2,I
41,0.85,0.8293,2,I
14,0.8462,0.7857,2,I
94,0.7957,0.7872,2,I
94,0.8172,0.8085,2,I
3,1,0.6667,1,I
54,0.8868,0.8704,2,I
16,0.8667,0.8125,3,I
19,0.9444,0.8947,3,I
51,0.82,0.8039,3,I
81,0.8625,0.8519,3,I
57,0.9464,0.9298,2,I
69,0.8235,0.8116,3,I
35,0.9118,0.8857,2,I
25,0.875,0.84,1,I
75,0.7703,0.76,4,I
90,0.8427,0.8333,4,I
58,0.9825,0.9655,3,I
21,0.95,0.9048,3,I
72,1,0.9861,2,I
27,0.9615,0.9259,3,I
26,0.92,0.8846,4,I
84,0.988,0.9762,1,I
22,0.9524,0.9091,4,I
46,1,0.9783,3,I
89,0.8636,0.8539,4,I
7,1,0.8571,2,I
72,0.9859,0.9722,3,I
49,0.8125,0.7959,5,I
4,1,0.75,1,I
48,1,0.9792,2,I
87,0.8488,0.8391,5,I
99,0.9388,0.9293,5,I
17,0.9375,0.8824,5,I
12,1,0.9167,1,I
38,1,0.9737,2,I
74,0.9315,0.9189,6,I
74,0.9178,0.9054,5,I
8,1,0.875,3,I
75,0.8108,0.8,5,I
12,1,0.9167,3,I
83,0.8537,0.8434,5,I
20,1,0.95,4,I
47,0.913,0.8936,2,I
16,0.8667,0.8125,5,H
29,0.8214,0.7931,6,I
67,0.9242,0.9104,6,I
44,0.7907,0.7727,6,I
72,0.8169,0.8056,6,I
37,0.8056,0.7838,7,I
