Array Length,Presorted Rate,Duplicate Rate,Max Digits,Fastest Sort
952,0.8948,0.8939,2,R
365,0.9148,0.9123,2,Q
854,0.9789,0.9778,2,M
438,0.9062,0.9041,2,Q
283,0.9681,0.9647,2,Q
185,0.8424,0.8378,2,Q
624,0.8941,0.8926,2,R
494,0.9939,0.9919,2,R
607,0.9109,0.9094,2,R
776,0.9381,0.9369,2,R
379,0.8519,0.847,2,Q
984,0.9471,0.9461,2,R
723,0.9349,0.9336,2,R
517,0.9593,0.9574,2,R
551,0.8982,0.8966,2,R
499,0.9739,0.9719,2,R
216,0.8977,0.8935,2,I
634,0.9447,0.9432,2,Q
470,0.9701,0.9681,2,Q
566,0.9965,0.9947,2,R
112,0.8559,0.8482,2,I
661,0.9273,0.9259,2,Q
233,1,0.9957,1,I
185,0.8207,0.8108,2,I
666,0.8782,0.8769,2,Q
501,0.914,0.9122,2,R
954,0.9192,0.9182,2,Q
424,0.9787,0.9764,2,R
898,0.9521,0.951,2,Q
255,0.874,0.8706,2,Q
798,0.9448,0.9436,2,Q
160,0.8239,0.8188,2,Q
669,0.8817,0.8774,2,R
266,0.9245,0.9211,2,Q
928,0.9115,0.9095,2,Q
631,0.9143,0.9128,2,R
221,0.9227,0.9186,2,Q
734,0.9045,0.9033,2,Q
188,0.893,0.8883,2,I
159,0.9051,0.8994,2,I
291,0.9897,0.9863,2,R
990,0.905,0.904,2,R
215,0.9673,0.9628,2,I
353,0.9034,0.9008,2,Q
459,0.8734,0.8715,2,Q
567,0.947,0.9453,2,Q
994,0.9396,0.9386,2,R
873,0.93,0.929,2,Q
329,0.8659,0.8632,2,Q
858,0.9008,0.8986,2,R
222,0.9502,0.9459,2,Q
933,0.9421,0.9411,2,R
775,0.9457,0.9445,2,Q
501,0.912,0.9102,2,Q
159,0.8734,0.8679,2,I
180,0.9106,0.9056,2,I
977,0.9867,0.9857,2,R
980,0.9285,0.9276,2,Q
769,0.9974,0.9961,2,R
606,0.9802,0.9785,2,M
954,0.9003,0.8994,2,R
568,0.9312,0.9296,2,Q
223,0.8514,0.8475,2,Q
516,0.8951,0.8934,2,R
982,0.8899,0.889,2,R
594,0.9224,0.9209,2,Q
236,1,0.9958,1,I
172,0.9591,0.9535,3,I
438,0.8192,0.8151,3,Q
574,0.8551,0.8537,3,Q
225,0.9866,0.9822,2,I
686,0.8861,0.8848,2,R
590,0.8778,0.8763,2,R
704,0.9331,0.9318,2,R
602,0.9035,0.902,3,Q
505,0.8472,0.8455,3,R
987,0.854,0.8521,3,Q
119,0.9492,0.9412,3,I
751,0.88,0.8788,3,Q
521,0.9385,0.9367,3,Q
406,0.9432,0.9409,3,Q
744,0.8425,0.8414,3,Q
257,0.8086,0.8054,3,Q
312,0.8971,0.8942,3,Q
601,0.845,0.8436,3,Q
489,0.9242,0.9223,3,Q
906,0.9735,0.9724,3,Q
714,0.9481,0.9468,3,Q
968,0.8501,0.8492,3,Q
483,0.861,0.8592,3,Q
142,0.8582,0.8521,3,I
565,0.9894,0.9876,3,M
362,0.9889,0.9862,3,M
234,0.9657,0.9615,3,Q
454,0.8389,0.837,3,Q
604,0.8939,0.8924,3,Q
466,0.8129,0.8112,3,Q
386,0.8416,0.8368,3,Q
523,0.8391,0.8375,3,Q
597,0.844,0.8425,3,Q
804,0.8717,0.8706,3,Q
589,0.9269,0.9253,3,Q
701,0.8186,0.8146,3,Q
309,0.9156,0.9126,3,Q
745,0.9073,0.906,3,Q
855,0.8314,0.8304,3,R
738,0.848,0.8469,3,Q
699,0.9928,0.9914,3,M
337,0.8542,0.8487,3,Q
687,0.8426,0.8413,3,Q
829,0.8454,0.8432,3,Q
373,0.9731,0.9705,3,Q
491,0.8429,0.8411,3,Q
983,0.9053,0.9044,3,Q
269,0.9366,0.9331,3,Q
894,0.9328,0.9318,3,Q
179,0.9494,0.9441,3,I
460,0.8649,0.863,3,Q
662,0.8911,0.8897,3,Q
961,0.8542,0.8533,3,Q
834,0.9064,0.9053,3,Q
321,0.9094,0.9065,3,Q
710,0.9676,0.9662,3,Q
477,0.8613,0.8595,3,Q
825,0.9915,0.9903,3,M
480,0.9081,0.9063,3,Q
846,0.9432,0.9421,3,Q
443,0.9842,0.9819,3,R
345,0.8169,0.8145,3,Q
705,0.8793,0.878,3,Q
305,0.8553,0.8525,3,Q
196,0.8872,0.8827,3,I
531,0.9415,0.9397,3,Q
638,0.9152,0.9138,3,Q
654,1,0.9985,3,I
848,0.8985,0.8974,3,R
979,0.9182,0.9173,3,Q
462,0.9783,0.9762,3,R
967,0.8551,0.8521,3,Q
259,0.8372,0.834,3,Q
280,0.9964,0.9929,2,H
221,0.8136,0.81,3,I
279,0.9388,0.9355,3,Q
418,0.8249,0.823,3,Q
743,0.903,0.9017,3,Q
388,0.8682,0.866,3,Q
876,0.9703,0.9692,3,R
959,0.905,0.9041,3,Q
147,0.863,0.8571,3,I
331,0.9636,0.9607,3,Q
514,0.8421,0.8405,3,Q
937,0.8632,0.8623,3,M
318,1,0.9969,2,I
558,0.9048,0.9032,3,Q
340,0.9027,0.9,3,Q
179,0.9326,0.9274,3,Q
754,0.907,0.9058,3,Q
523,0.8755,0.8738,3,Q
459,0.8843,0.8824,3,Q
898,0.9331,0.9321,3,Q
977,0.875,0.8731,3,R
348,0.8646,0.8621,3,Q
508,0.8935,0.8917,3,Q
144,0.9301,0.9236,3,Q
374,0.8874,0.885,3,Q
760,0.9723,0.9711,3,Q
383,0.9476,0.9452,4,Q
182,0.8564,0.8516,4,Q
970,0.8473,0.8464,3,R
197,0.8673,0.8629,3,Q
305,0.9507,0.9475,3,Q
649,0.8472,0.8459,3,Q
493,0.8272,0.8256,4,Q
220,0.8493,0.8455,4,Q
113,0.9732,0.9646,4,I
172,0.9649,0.9593,4,I
533,0.8722,0.8705,4,Q
709,0.8418,0.8392,4,Q
457,0.8904,0.8884,4,Q
786,0.8548,0.8537,4,Q
564,0.849,0.8475,4,Q
184,1,0.9946,2,I
340,0.941,0.9382,4,Q
597,0.8255,0.8241,4,Q
833,0.8161,0.8151,4,R
552,0.8385,0.837,4,Q
626,0.9216,0.9201,4,Q
310,0.9159,0.9129,4,Q
984,0.8993,0.8984,4,M
329,0.8018,0.7994,4,Q
496,0.9414,0.9395,4,Q
797,0.8807,0.8795,4,Q
391,0.9718,0.9693,4,Q
707,0.9008,0.8996,4,Q
719,0.9652,0.9638,4,Q
675,0.8071,0.8,4,R
550,0.8361,0.8345,4,Q
951,0.9221,0.9211,4,Q
810,0.8875,0.8864,4,Q
394,0.9135,0.9112,4,Q
525,0.9447,0.9429,4,Q
293,0.7842,0.7782,4,Q
395,0.8528,0.8506,4,Q
600,0.8848,0.8833,4,Q
321,0.9375,0.9346,4,Q
716,0.8196,0.8184,4,Q
237,0.7669,0.7637,4,Q
562,0.902,0.9004,4,Q
746,0.9772,0.9759,4,Q
995,0.9809,0.9799,4,M
800,0.8398,0.8388,4,Q
155,0.8961,0.8903,4,I
335,0.8024,0.794,4,Q
200,0.8593,0.855,4,Q
352,0.9259,0.9233,4,Q
544,0.8122,0.8088,4,Q
606,0.8496,0.8482,4,Q
377,0.8032,0.8011,4,Q
186,0.8595,0.8548,4,I
717,0.919,0.9177,4,Q
938,0.9594,0.9584,4,Q
243,0.8388,0.8354,4,I
711,0.9282,0.9269,4,Q
115,0.8684,0.8609,4,I
602,0.8602,0.8588,4,Q
138,0.9124,0.9058,4,Q
590,0.9762,0.9746,4,M
654,0.853,0.8517,4,Q
598,0.9464,0.9448,4,Q
628,0.8405,0.8376,4,R
847,0.9846,0.9835,4,M
825,0.8434,0.8412,4,Q
721,0.8486,0.846,4,Q
634,0.891,0.8896,4,Q
424,0.9669,0.9646,4,Q
866,0.8532,0.8522,4,Q
981,0.9857,0.9847,4,Q
258,0.8949,0.8915,4,Q
760,0.9289,0.9276,4,Q
398,0.8161,0.8141,4,Q
314,0.9393,0.9363,4,Q
815,0.9656,0.9644,4,Q
406,0.8642,0.8621,4,Q
606,0.8512,0.8498,4,Q
110,0.9083,0.9,4,I
591,0.9424,0.9408,4,Q
459,0.8057,0.8039,4,Q
920,0.9151,0.9141,4,Q
873,0.9725,0.9714,4,Q
714,0.9173,0.916,4,Q
607,0.9191,0.9176,4,Q
919,0.866,0.8651,4,Q
800,0.8899,0.8888,4,Q
872,0.8519,0.8509,4,Q
189,0.8723,0.8677,4,Q
369,0.8207,0.8157,4,Q
722,0.9903,0.9889,4,R
718,0.9358,0.9345,4,Q
473,0.7924,0.7907,4,Q
384,0.9504,0.9479,4,Q
521,0.9288,0.9271,4,Q
964,0.8442,0.8423,4,Q
620,1,0.9984,1,I
689,0.8459,0.8447,4,Q
951,0.9021,0.9012,4,Q
759,0.8536,0.8524,4,Q
501,0.916,0.9142,5,Q
921,0.963,0.962,5,M
956,0.8419,0.84,4,Q
119,0.8136,0.8067,4,I
378,0.9576,0.955,5,Q
436,0.9839,0.9817,5,Q
919,0.9902,0.9891,4,M
428,0.8923,0.8902,4,Q
465,0.9224,0.9204,5,Q
440,0.7927,0.7909,5,Q
621,0.8113,0.81,5,Q
871,0.9023,0.9013,5,Q
547,0.8333,0.8318,5,Q
405,0.8738,0.8716,5,Q
396,0.8,0.798,5,Q
480,0.785,0.7833,5,Q
583,0.7887,0.7839,5,Q
775,0.8437,0.8426,5,Q
312,0.791,0.7885,5,Q
814,0.968,0.9668,5,Q
114,0.7788,0.7719,5,I
521,0.8808,0.8772,5,Q
457,0.7982,0.7965,5,Q
229,0.8246,0.821,5,Q
486,0.9258,0.9239,5,Q
923,0.82,0.8191,5,Q
228,0.859,0.8553,5,Q
972,0.8095,0.8076,5,Q
611,0.9656,0.964,5,Q
698,0.8451,0.8438,5,Q
236,0.8809,0.8771,5,Q
753,0.9441,0.9429,5,Q
861,0.8,0.7944,5,Q
143,0.9225,0.9161,4,I
668,0.7916,0.7889,5,Q
689,0.9971,0.9956,2,R
511,0.8196,0.8141,5,Q
401,0.775,0.7731,5,Q
985,0.8303,0.8284,5,Q
249,0.8548,0.8514,5,I
294,0.7679,0.7653,5,Q
135,0.903,0.8963,5,I
622,0.8744,0.873,5,Q
395,0.9543,0.9519,5,Q
901,0.9967,0.9956,4,M
325,0.8179,0.8154,5,Q
196,0.9077,0.9031,5,Q
122,0.876,0.8689,5,I
196,0.9744,0.9694,5,I
721,0.8028,0.8017,5,R
609,0.9441,0.9425,5,Q
213,0.8019,0.7981,5,I
153,0.8421,0.8366,5,I
476,0.9474,0.9454,5,Q
186,0.9405,0.9355,5,Q
596,0.837,0.8356,5,Q
695,0.902,0.9007,5,Q
698,0.8121,0.808,5,Q
744,0.9731,0.9718,5,Q
326,0.9108,0.908,5,Q
741,0.8338,0.8327,5,Q
363,0.837,0.8347,5,Q
390,0.9923,0.9897,4,M
614,0.8189,0.816,5,Q
671,0.8582,0.8569,5,Q
575,0.9774,0.9757,5,Q
892,0.9832,0.9821,5,M
902,0.8957,0.8947,5,Q
754,0.8513,0.8501,5,Q
322,0.8162,0.8137,5,Q
591,0.8966,0.8951,5,Q
852,0.973,0.9718,5,Q
691,0.9667,0.9653,5,Q
884,0.829,0.8281,5,Q
818,0.9988,0.9976,5,H
500,0.8778,0.876,5,Q
512,0.8258,0.8242,5,Q
783,0.9898,0.9885,5,M
247,0.8577,0.8543,5,Q
480,0.9311,0.9292,5,Q
906,0.8895,0.8885,5,Q
762,0.9159,0.9147,5,Q
878,0.9875,0.9863,5,M
987,0.8357,0.8338,5,Q
728,0.8047,0.8036,5,Q
230,0.8646,0.8609,5,Q
507,1,0.998,4,I
392,0.8849,0.8827,5,Q
719,0.7967,0.7942,5,Q
753,0.9787,0.9774,5,M
154,0.7712,0.7597,5,I
559,0.8351,0.8336,5,Q
975,1,0.999,3,I
657,0.907,0.9056,5,Q
655,0.9404,0.9389,5,Q
555,0.8592,0.8577,5,Q
878,0.9829,0.9818,5,M
481,0.9396,0.9376,5,Q
681,0.8926,0.8913,5,Q
139,0.913,0.9065,6,I
200,0.8995,0.895,5,I
152,0.9338,0.9276,5,I
204,0.803,0.7941,5,I
781,0.9628,0.9616,5,Q
754,0.8831,0.8806,5,Q
304,0.8185,0.8158,6,Q
473,0.7775,0.7759,6,Q
665,0.8675,0.8662,6,Q
138,0.8248,0.8188,6,I
522,0.9789,0.977,6,M
542,0.9057,0.9041,6,Q
293,0.9726,0.9693,6,I
895,0.9195,0.9184,6,Q
762,0.929,0.9278,6,Q
421,0.9595,0.9572,6,Q
491,0.8653,0.8635,6,Q
775,0.8992,0.8981,6,Q
423,0.891,0.8889,6,Q
380,0.9763,0.9737,6,Q
983,0.8951,0.8942,6,Q
632,0.8304,0.8291,6,Q
996,0.9166,0.9157,6,Q
654,0.8806,0.8792,6,Q
704,0.9872,0.9858,6,M
751,0.788,0.7856,6,Q
231,1,0.9957,2,I
185,0.7663,0.7622,6,Q
982,0.9042,0.9033,6,Q
844,0.7936,0.7927,6,M
460,0.9172,0.9152,6,Q
849,0.8042,0.8033,6,Q
338,0.9377,0.9349,6,Q
141,1,0.9929,4,I
375,0.9171,0.9147,6,Q
753,0.8231,0.8207,6,Q
531,0.8906,0.8889,6,Q
787,0.8282,0.8272,6,Q
389,0.8376,0.8355,6,Q
165,0.8171,0.8121,6,I
576,0.7791,0.7743,6,Q
953,0.8687,0.8678,6,Q
938,0.7994,0.7964,6,Q
472,0.9745,0.9725,6,Q
578,0.9307,0.9291,6,Q
898,0.7726,0.7717,6,Q
752,0.9627,0.9614,6,M
187,0.9624,0.9572,5,I
680,0.9647,0.9632,6,Q
729,0.8077,0.8066,6,M
867,0.9042,0.9031,6,Q
176,0.9029,0.8977,6,I
308,0.9316,0.9286,6,Q
257,0.8242,0.821,6,Q
636,0.9606,0.9591,6,Q
420,0.8926,0.8905,6,Q
712,0.8425,0.8413,6,Q
946,0.8656,0.8647,6,Q
615,0.7932,0.7886,6,Q
417,0.9255,0.9233,6,Q
942,1,0.9989,5,I
857,0.7874,0.7865,6,Q
213,0.8396,0.8357,6,Q
289,0.8403,0.8374,6,Q
911,0.8231,0.8222,6,Q
455,0.8943,0.8923,6,Q
221,0.8591,0.8552,6,Q
776,0.8245,0.8222,6,Q
393,0.9311,0.9288,6,Q
840,0.8915,0.8905,6,Q
408,0.8894,0.8873,6,Q
380,0.7968,0.7868,6,Q
951,0.9316,0.9306,6,Q
699,0.8854,0.8841,6,Q
338,0.9496,0.9467,6,Q
644,0.8072,0.8059,6,M
687,0.8338,0.8326,6,Q
410,0.9902,0.9878,6,H
126,0.776,0.7698,6,I
459,0.8362,0.8344,6,Q
776,0.9161,0.9149,6,Q
311,0.9968,0.9936,2,H
565,0.7748,0.7735,6,Q
741,0.8027,0.8016,6,Q
971,0.7948,0.7899,6,Q
562,0.9127,0.911,6,Q
571,0.9509,0.9492,6,Q
789,0.7931,0.7921,6,Q
866,0.8023,0.8014,6,Q
469,0.8632,0.8614,6,Q
972,0.8136,0.8128,6,Q
445,0.9977,0.9955,4,H
328,0.8563,0.8537,6,Q
292,0.8144,0.8082,6,Q
239,0.9076,0.9038,6,Q
964,0.9969,0.9959,6,M
240,1,0.9958,2,I
340,0.9912,0.9882,4,I
938,0.7898,0.7889,6,Q
170,0.9172,0.9118,6,I
431,0.8953,0.8933,6,Q
554,0.8228,0.8213,6,Q
338,0.9436,0.9408,6,Q
459,0.9061,0.9041,6,Q
208,0.971,0.9663,7,I
579,1,0.9983,1,I
552,0.8348,0.8315,7,Q
169,0.8571,0.8521,7,Q
807,0.8685,0.8674,7,Q
936,0.8021,0.8002,7,Q
195,0.8711,0.8667,6,Q
239,0.8445,0.841,7,Q
394,0.8524,0.8503,7,Q
438,0.8513,0.847,7,Q
759,0.9763,0.975,7,M
345,0.9419,0.9391,7,Q
712,0.8228,0.8216,7,Q
821,0.7817,0.7808,7,Q
846,0.9254,0.9243,7,Q
166,0.8545,0.8494,7,I
206,0.8829,0.8786,7,I
313,0.8526,0.8466,7,Q
239,0.9328,0.9289,7,I
550,0.847,0.8455,7,Q
902,0.99,0.9889,6,M
754,0.8367,0.8355,7,Q
731,0.7959,0.7948,7,Q
527,0.9867,0.9848,7,M
919,0.9837,0.9826,7,M
311,0.7871,0.7846,7,Q
755,0.8236,0.8212,7,Q
343,0.9561,0.9534,7,Q
442,0.8617,0.8597,7,Q
841,0.9536,0.9524,7,Q
887,0.9763,0.9752,7,Q
557,0.9676,0.9659,7,Q
643,0.8411,0.8398,7,Q
666,0.9895,0.988,6,M
847,0.9823,0.9811,6,M
361,0.9861,0.9834,7,M
431,0.8093,0.8074,7,Q
605,0.8957,0.8942,7,Q
576,0.8765,0.875,7,Q
386,0.9688,0.9663,7,Q
768,0.7784,0.776,7,Q
140,0.7842,0.7786,7,I
531,0.8302,0.8267,7,Q
818,0.8201,0.8154,7,Q
154,0.9085,0.9026,7,I
872,0.8749,0.8739,7,Q
280,0.8961,0.8929,7,Q
774,0.9521,0.9509,7,Q
776,0.8852,0.884,7,Q
986,0.7858,0.785,7,Q
748,0.9813,0.9799,7,M
347,0.9827,0.9798,7,M
912,0.8419,0.841,7,Q
571,0.8825,0.8809,7,Q
101,0.79,0.7822,7,I
948,0.9124,0.9114,7,Q
133,0.8636,0.8571,6,I
451,0.9667,0.9645,7,M
475,0.8228,0.8211,7,Q
394,0.916,0.9137,7,Q
851,0.8176,0.8167,7,Q
210,0.9139,0.9095,7,Q
727,0.7975,0.7964,7,Q
898,0.7837,0.7784,7,Q
838,0.9797,0.9785,7,Q
125,0.9194,0.912,7,I
553,1,0.9982,4,I
721,0.8194,0.8183,7,Q
165,0.7683,0.7636,7,Q
529,0.7955,0.7883,7,Q
740,0.9635,0.9622,7,Q
958,0.931,0.9301,7,Q
855,0.9157,0.9146,7,Q
398,0.7859,0.7814,7,Q
984,0.8444,0.8435,7,Q
245,0.9754,0.9714,7,I
745,0.9086,0.9074,7,Q
776,0.8748,0.8737,7,Q
823,0.9672,0.966,7,Q
248,0.8623,0.8589,7,Q
617,0.8231,0.8217,7,Q
492,0.9735,0.9715,7,Q
655,0.7982,0.7954,7,Q
447,0.9103,0.9083,7,Q
274,0.978,0.9745,7,Q
768,0.8057,0.8047,7,Q
948,0.8374,0.8365,7,Q
929,0.7909,0.7858,7,Q
817,0.9044,0.9033,7,Q
953,0.9695,0.9685,7,Q
643,0.8925,0.8911,7,Q
551,0.8655,0.8639,7,Q
910,0.9956,0.9945,6,M
674,0.9718,0.9703,7,Q
428,0.8478,0.8458,7,Q
690,0.9274,0.9261,7,Q
795,0.83,0.8289,7,Q
778,0.8996,0.8985,7,Q
804,0.9975,0.9963,7,M
416,0.7831,0.7813,7,Q
756,0.8623,0.8611,7,Q
546,0.811,0.8095,8,Q
718,0.8828,0.8816,8,Q
773,0.7746,0.7684,8,Q
456,0.9516,0.9496,8,Q
112,1,0.9911,6,I
617,0.8133,0.812,8,Q
574,0.9686,0.9669,8,Q
253,0.873,0.8696,8,Q
811,0.9444,0.9433,8,Q
869,0.947,0.9459,8,Q
379,0.7989,0.7968,8,Q
437,0.867,0.865,8,Q
641,0.9141,0.9126,8,Q
260,0.8958,0.8923,8,Q
618,0.8882,0.8867,8,Q
964,0.9398,0.9388,8,Q
100,0.9596,0.95,6,I
834,0.7959,0.795,8,Q
190,0.8042,0.7947,8,I
493,0.8598,0.856,8,Q
549,0.8814,0.8798,8,Q
371,0.9973,0.9946,7,I
267,0.8797,0.8764,8,Q
123,0.9098,0.9024,8,I
564,0.9378,0.9362,8,Q
332,0.7855,0.7801,8,Q
483,0.9668,0.9648,8,Q
487,0.8992,0.8973,8,Q
102,0.8218,0.8137,8,I
213,0.9198,0.9155,8,I
353,0.9545,0.9518,8,Q
579,0.9256,0.924,8,Q
637,0.9497,0.9482,8,Q
560,0.9928,0.9911,8,M
262,0.7931,0.7901,8,I
280,0.9319,0.9286,8,Q
583,0.7715,0.765,8,Q
834,0.9256,0.9245,8,Q
811,0.7642,0.762,8,Q
715,0.8908,0.8895,8,Q
749,0.8021,0.8011,8,Q
473,0.9555,0.9535,8,Q
432,0.7773,0.7755,8,Q
867,0.7748,0.7716,8,Q
782,0.886,0.8849,8,Q
404,0.7742,0.7723,8,Q
582,0.9552,0.9536,8,Q
284,0.9364,0.9331,8,Q
665,0.7922,0.791,8,Q
954,0.9496,0.9486,8,Q
961,0.7948,0.7908,8,Q
749,0.9679,0.9666,8,Q
787,0.8041,0.8005,8,Q
805,0.9689,0.9677,8,Q
958,0.9854,0.9843,8,M
667,0.8709,0.8696,8,Q
548,0.9159,0.9142,8,Q
396,1,0.9975,3,I
461,0.963,0.961,8,Q
880,0.8919,0.8909,8,Q
963,0.8805,0.8795,8,Q
756,0.9219,0.9206,8,Q
267,0.8008,0.7978,8,Q
665,0.9804,0.9789,7,M
830,0.7973,0.7952,8,Q
850,0.9211,0.92,8,Q
898,0.7804,0.7795,8,Q
352,0.8462,0.8438,8,Q
491,0.8082,0.8065,8,Q
253,0.7659,0.7628,8,Q
137,0.8015,0.7956,8,I
796,0.9145,0.9133,8,Q
296,0.7864,0.777,8,Q
700,0.7997,0.7986,8,Q
300,0.8094,0.8033,8,Q
119,0.9576,0.9496,7,I
785,0.8814,0.879,8,Q
143,0.9014,0.8951,8,I
374,0.8499,0.8476,8,Q
627,0.9409,0.9394,8,Q
539,0.8922,0.8905,8,Q
749,0.8195,0.8184,8,Q
366,0.9726,0.9699,8,Q
779,0.9846,0.9833,8,M
864,0.9282,0.9271,8,Q
922,0.9729,0.9718,8,M
243,0.8182,0.8148,8,I
454,0.936,0.9339,8,Q
351,0.8571,0.8547,8,Q
177,0.8466,0.8418,8,I
188,0.9679,0.9628,6,Q
173,0.9302,0.9249,7,I
150,0.8926,0.8867,8,I
289,0.8715,0.8685,8,Q
575,0.9338,0.9322,9,Q
931,0.7785,0.7777,8,Q
208,0.9179,0.9135,8,I
647,0.9706,0.9691,8,Q
805,0.908,0.9068,8,Q
170,0.8225,0.8176,9,I
780,0.8806,0.8795,9,Q
690,0.9724,0.971,9,Q
553,0.779,0.7722,9,Q
199,0.8636,0.8593,9,I
583,0.866,0.8645,8,Q
993,0.8256,0.8248,9,Q
617,0.8409,0.8395,8,Q
794,0.802,0.801,9,Q
959,0.8549,0.854,9,Q
369,0.8315,0.8293,9,Q
936,0.7979,0.7949,9,Q
513,0.9355,0.9337,9,Q
943,0.88,0.8791,9,Q
104,0.9223,0.9135,9,I
712,0.8847,0.8834,9,Q
113,1,0.9912,9,I
289,0.9549,0.9516,9,Q
108,0.8318,0.8241,9,I
508,0.789,0.7874,9,Q
482,0.7796,0.7739,9,Q
706,0.8057,0.8031,9,Q
422,0.9596,0.9573,8,Q
784,0.8493,0.8444,9,Q
206,0.8634,0.8592,9,I
967,0.8665,0.8656,9,Q
484,0.8157,0.814,9,Q
675,0.9733,0.9719,8,Q
762,0.8581,0.857,9,Q
265,0.8182,0.8151,9,Q
884,0.8007,0.7986,9,Q
480,0.9645,0.9625,9,Q
400,0.9599,0.9575,9,Q
695,0.9841,0.9827,9,M
100,0.899,0.89,9,I
547,0.7857,0.7843,9,Q
753,0.7846,0.7782,9,Q
638,0.8289,0.8276,9,M
163,0.784,0.7791,9,I
579,0.9273,0.9257,9,Q
218,0.8018,0.7936,9,Q
444,0.7923,0.7905,9,Q
793,0.9722,0.971,9,Q
291,0.9552,0.9519,9,Q
200,0.804,0.8,9,I
468,0.9015,0.8996,9,Q
756,0.8079,0.8069,9,M
173,0.9709,0.9653,8,I
394,0.8015,0.7995,9,Q
572,0.7846,0.7815,9,Q
279,0.9748,0.9713,8,Q
419,0.9952,0.9928,8,M
789,0.9784,0.9772,9,Q
975,0.9497,0.9487,9,Q
731,0.9603,0.959,9,Q
306,0.9148,0.9118,9,Q
429,0.8995,0.8974,9,Q
312,0.8264,0.8237,9,Q
451,0.8911,0.8891,9,Q
259,1,0.9961,3,I
571,0.8123,0.8109,9,Q
942,0.814,0.8121,9,Q
601,0.7917,0.7903,9,Q
535,0.9438,0.9421,9,Q
978,0.8106,0.8098,9,Q
955,0.913,0.912,9,Q
121,0.8583,0.8512,9,I
709,0.7712,0.7701,9,Q
360,0.9192,0.9167,9,Q
397,0.9722,0.9698,9,Q
236,0.9021,0.8983,9,Q
424,0.9291,0.9269,9,Q
622,0.8357,0.8344,9,Q
812,0.7805,0.7759,9,M
787,0.8117,0.8107,9,Q
357,0.8933,0.8908,9,Q
248,0.8138,0.8105,9,Q
635,0.9101,0.9087,9,Q
831,0.9614,0.9603,9,Q
358,0.7843,0.7821,9,Q
607,0.7739,0.7677,9,Q
671,0.9985,0.997,3,H
704,0.8706,0.8693,9,Q
928,0.8047,0.8039,9,Q
773,0.9598,0.9586,9,Q
292,0.9656,0.9623,9,Q
331,0.7667,0.7644,9,Q
253,0.8294,0.8261,9,Q
406,0.842,0.8399,9,Q
945,0.7977,0.7958,9,Q
311,0.8935,0.8907,9,Q
684,0.9458,0.9444,9,Q
522,0.904,0.9023,9,Q
329,0.8598,0.8571,9,Q
145,0.8958,0.8897,9,I
954,0.8625,0.8616,9,Q
355,0.7797,0.7775,10,Q
687,0.7988,0.7962,9,Q
209,0.8029,0.799,10,I
414,0.9637,0.9614,10,Q
840,0.8594,0.8583,9,M
704,0.9474,0.946,9,Q
704,0.7795,0.7784,9,Q
521,0.8673,0.8656,9,Q
349,0.7644,0.7622,10,Q
939,0.9915,0.9904,10,M
592,0.9357,0.9341,10,Q
412,0.8078,0.8034,10,Q
684,0.8199,0.8187,10,Q
961,0.8302,0.8293,10,Q
345,1,0.9971,7,I
471,0.817,0.8153,10,Q
937,1,0.9989,8,I
222,0.9321,0.9279,10,Q
957,0.8337,0.8297,10,Q
621,0.8306,0.8293,10,Q
832,0.8965,0.8954,10,Q
953,0.9055,0.9045,10,Q
259,0.8062,0.7992,10,Q
425,0.783,0.7812,10,H
997,0.8203,0.8195,10,Q
853,0.8803,0.8792,10,H
964,0.7715,0.7707,10,Q
408,0.8206,0.8186,10,Q
195,0.8866,0.8821,10,I
365,0.772,0.7699,10,Q
284,0.9647,0.9613,10,Q
193,0.901,0.8964,10,I
558,0.9767,0.9749,10,Q
576,0.88,0.8785,10,Q
716,0.814,0.8128,10,Q
177,0.9261,0.9209,10,Q
418,0.9424,0.9402,9,Q
321,0.8781,0.8754,10,Q
462,0.7657,0.7619,10,Q
537,0.8209,0.8194,10,Q
949,0.8059,0.803,10,Q
974,0.814,0.8131,10,Q
128,0.8583,0.8516,10,I
911,0.8868,0.8847,10,Q
429,0.8248,0.8228,10,Q
995,0.8642,0.8633,10,Q
534,0.8199,0.8184,10,Q
510,0.8271,0.8255,10,Q
677,0.8121,0.8109,10,Q
353,0.8267,0.8244,10,Q
556,0.9586,0.9568,10,Q
614,0.8646,0.8632,10,Q
166,1,0.994,9,I
308,0.7915,0.7857,10,Q
837,0.9844,0.9833,10,M
286,1,0.9965,7,I
297,0.7669,0.7609,10,Q
743,0.8464,0.8452,10,Q
496,0.8303,0.8286,10,Q
347,0.8035,0.8012,10,Q
399,0.7663,0.7594,10,Q
290,0.9273,0.9241,10,Q
644,0.9393,0.9379,10,Q
890,0.8729,0.8719,10,Q
554,0.7866,0.7852,10,Q
438,0.8924,0.8904,10,Q
868,0.9135,0.9124,10,Q
752,0.8176,0.8165,10,Q
149,0.8784,0.8725,10,I
990,0.913,0.9121,10,Q
138,0.9343,0.9275,9,I
694,0.9697,0.9683,9,Q
501,0.876,0.8743,10,Q
506,0.9287,0.9269,10,Q
263,0.7977,0.7947,10,I
585,0.8305,0.8239,10,Q
822,0.9147,0.9136,10,Q
643,0.8988,0.8974,10,Q
858,0.9708,0.9697,10,M
938,0.7716,0.7676,10,Q
659,0.8739,0.8725,10,Q
432,0.7935,0.7917,10,Q
